"simscenarios","lambda.scenario","scenario","phi1.obs","phi1.true","phiad.obs","phiad.true","fec.obs","fec.true","det.abund","det.MR","det.prod","lambda"
2,"Decreasing",21,0.594506444198547,0.61,0.357780169413154,0.35,1.00481949046371,1,"M","M","M","L"
2,"Decreasing",22,0.584467816189453,0.42,0.195758571650826,0.19,1.29633314490962,1.825,"M","M","M","L"
2,"Decreasing",11,0.774131114693158,0.91,0.3268131978365,0.33,0.799232215446358,0.675,"M","M","M","L"
3,"Decreasing",19,0.503868172393562,0.32,0.255094228408487,0.25,1.36939345190575,2.175,"H","H","H","L"
3,"Decreasing",12,0.49970429182656,0.58,0.532105154455323,0.54,0.821565662000205,0.7,"H","H","H","L"
3,"Decreasing",9,0.458616477098072,0.31,0.348577210631337,0.35,1.32244721917239,1.95,"H","H","H","L"
3,"Decreasing",2,0.172907204631785,0.1,0.698831519683359,0.7,1.41874164441904,2.475,"H","H","H","L"
3,"Decreasing",1,0.22216089978202,0.15,0.652309030230253,0.66,1.32712012515458,1.95,"H","H","H","L"
3,"Decreasing",10,0.440862103716874,0.23,0.293100877316187,0.29,1.48970589820388,2.9,"H","H","H","L"
3,"Decreasing",24,0.707522299943177,0.64,0.153884562396144,0.14,1.11449606364748,1.275,"H","H","H","L"
3,"Decreasing",25,0.546996297166501,0.31,0.161641524851945,0.16,1.43815924684497,2.575,"H","H","H","L"
3,"Decreasing",3,0.245420556526493,0.17,0.638931566816771,0.64,1.30675685626066,1.875,"H","H","H","L"
3,"Decreasing",17,0.673038890922182,0.71,0.317875379534348,0.32,0.944904050810365,0.9,"H","H","H","L"
3,"Decreasing",15,0.55453173316733,0.61,0.450521975820592,0.45,0.896838298945297,0.825,"H","H","H","L"
3,"Decreasing",20,0.292538414093962,0.17,0.516339227502316,0.52,1.42791689885322,2.475,"H","H","H","L"
3,"Decreasing",14,0.56202916970257,0.36,0.193825203821114,0.2,1.36162629329915,2.1,"H","H","H","L"
3,"Decreasing",18,0.352432957093606,0.18,0.422007216637742,0.43,1.47963402049628,2.875,"H","H","H","L"
3,"Decreasing",4,0.23847246900611,0.22,0.698977847550947,0.7,1.075781714564,1.175,"H","H","H","L"
3,"Decreasing",22,0.580624454147782,0.42,0.197984673694738,0.19,1.29474245692237,1.825,"H","H","H","L"
3,"Decreasing",13,0.77237304990465,0.88,0.296552450813851,0.3,0.85092896251777,0.75,"H","H","H","L"
3,"Decreasing",8,0.777878962277259,0.8,0.191364511768008,0.18,0.978572468316995,0.975,"H","H","H","L"
3,"Decreasing",6,0.167020110243043,0.16,0.787757060328704,0.79,1.02469232901066,1.05,"H","H","H","L"
3,"Decreasing",21,0.593500861872086,0.61,0.352042943094225,0.35,1.00878979165945,1,"H","H","H","L"
3,"Decreasing",11,0.760757935597872,0.91,0.327553314761664,0.33,0.804896080683413,0.675,"H","H","H","L"
3,"Decreasing",5,0.469531935881728,0.63,0.630473276155185,0.64,0.676788790696931,0.5,"H","H","H","L"
3,"Decreasing",16,0.403785166073013,0.24,0.379294800065532,0.39,1.40305544411893,2.325,"H","H","H","L"
3,"Decreasing",23,0.360555532382651,0.2,0.409861342673926,0.4,1.45647462348412,2.725,"H","H","H","L"
3,"Decreasing",7,0.52213772610683,0.28,0.156469232984521,0.16,1.47749819068399,2.8,"H","H","H","L"
4,"Stable",1,0.822680526246494,0.76,0.137370859707284,0.15,1.05189452136881,1.125,"L","L","L","M"
4,"Stable",8,0.67618856874972,0.44,0.099566524948555,0.11,1.33253154187411,2.025,"L","L","L","M"
4,"Stable",19,0.390569853523049,0.24,0.470238960306888,0.47,1.38687513057803,2.25,"L","L","L","M"
4,"Stable",12,0.571225524181061,0.29,0.132643128939772,0.13,1.50009048989737,3,"L","L","L","M"
4,"Stable",2,0.503444215134445,0.45,0.431375068307933,0.42,1.11870677375071,1.275,"L","L","L","M"
